timestamp,value,obis,id,source
2019-01,14460.9000,Bezug,combined,2019-01
2019-01,3543.1000,Einspeisung,combined,2019-01
2019-01,10917.8000,Netto,combined,2019-01
2019-02,0.0000,Bezug,combined,2019-02
2019-02,0.0000,Einspeisung,combined,2019-02
2019-02,0.0000,Netto,combined,2019-02
2019-03,16032.0000,Bezug,combined,2019-03
2019-03,3544.5000,Einspeisung,combined,2019-03
2019-03,12487.5000,Netto,combined,2019-03
2019-04,16032.0000,Bezug,combined,2019-04
2019-04,3544.5000,Einspeisung,combined,2019-04
2019-04,12487.5000,Netto,combined,2019-04
2019-05,17129.0000,Bezug,combined,2019-05
2019-05,3611.3000,Einspeisung,combined,2019-05
2019-05,13517.7000,Netto,combined,2019-05
2019-06,17939.7000,Bezug,combined,2019-06
2019-06,3828.0000,Einspeisung,combined,2019-06
2019-06,14111.7000,Netto,combined,2019-06
2019-07,18496.3000,Bezug,combined,2019-07
2019-07,4000.7000,Einspeisung,combined,2019-07
2019-07,14495.6000,Netto,combined,2019-07
2019-08,19100.1000,Bezug,combined,2019-08
2019-08,4103.4000,Einspeisung,combined,2019-08
2019-08,14996.7000,Netto,combined,2019-08
